"type","ip","url","method","timestamp"
"BLOCKED","192.168.1.50","/login","POST","2026-03-08T01:39:43.037874100"
"BLOCKED","192.168.1.50","/search","POST","2026-03-08T01:39:43.066880500"
"BLOCKED","192.168.1.50","/profile","GET","2026-03-08T01:39:43.068881600"
"BLOCKED","192.168.1.50","/home","GET","2026-03-08T01:39:43.073883400"
"BLOCKED","192.168.1.50","/login","POST","2026-03-08T01:41:36.824201900"
"BLOCKED","192.168.1.50","/search","POST","2026-03-08T01:41:36.854208700"
"BLOCKED","192.168.1.50","/profile","GET","2026-03-08T01:41:36.855209900"
"BLOCKED","192.168.1.50","/home","GET","2026-03-08T01:41:36.859209600"
"BLOCKED","192.168.1.50","/login","POST","2026-03-08T01:55:32.449447600"
"BLOCKED","192.168.1.50","/search","POST","2026-03-08T01:55:32.474453100"
"BLOCKED","192.168.1.50","/profile","GET","2026-03-08T01:55:32.476454500"
"BLOCKED","192.168.1.50","/home","GET","2026-03-08T01:55:32.478456600"
"BLOCKED","192.168.1.50","/login","POST","2026-03-08T01:56:19.852469800"
"BLOCKED","192.168.1.50","/search","POST","2026-03-08T01:56:19.882476300"
"BLOCKED","192.168.1.50","/profile","GET","2026-03-08T01:56:19.884477200"
"BLOCKED","192.168.1.50","/home","GET","2026-03-08T01:56:19.889478300"
